Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Grainger County,,Tennessee,E-20,Rutledge Mine,MC0400,,,,,36.25287,-83.48600,MRDS,10084079,,Reference Hand Sample(s),Rock Bag,Y,90,0.41,410,C,C4,,
Aroostook County,,Maine,,Haskell Prospect,MC0409,,,,,46.03884,-67.85182,MRDS,10170150,,Reference Hand Sample(s),Rock Bag,N,80,0.376,376,C,C4,,
Aroostook County,,Maine,,Benn Manganese Prospect,MC0410,,,,,46.06989,-67.88869,MRDS,10306766,,Reference Hand Sample(s),Rock Bag,N,70,0.798,798,C,C4,,
Page County,,Virginia,E-50,Stanley Mine ,MC0411,,,,,38.56004,-78.51055,MRDS,10105492,,Reference Hand Sample(s),Rock Bag,Y,100,1.654,"1,654",C,C4,,
Union Point ,,Georgia,E-13,Hart Mine,MC0416,,Judge John C. Hart held mineral rights in the Georgia Manganese Company.,Reference_18,,33.66403,-82.95626,MRDS,10083794,,Reference Hand Sample(s),Rock Bag,N,60,1.056,"1,056",C,C5,,
Craig County,,Virginia,E-39,Overbeck Mine,MC0417,,,,G.W. Stose,37.47589,-80.11367,MRDS,10084140,,Reference Hand Sample(s),Rock Bag,N,30,0.374,374,C,C5,,
Sevierville ,,Tennessee,E-17,East Fork Mine,MC0428,,,,,35.82820,-83.38428,MRDS,10178797,,Reference Hand Sample(s),Rock Bag,N,40,0.6,600,C,C5,,
Grainger County,,Tennessee,E-16,Rutledge Mine,MC0429,,,,,36.25287,-83.48600,MRDS,10084079,,Reference Hand Sample(s),Rock Bag,Y,85,0.096,96,C,C5,,
Smyth County,,Virginia,E-38,Jerrys Creek Mine,MC0436,,,,,36.72818,-81.58843,MRDS,10300948,,Reference Hand Sample(s),Rock Bag,N,30,0.176,176,D,D1,,
Amelia County,,Virginia,E-4,Morefield Mine,MC0437,,,,,37.36062,-77.91388,MRDS,10084287,,Reference Hand Sample(s),Rock Bag,N,5,0.056,56,D,D1,,
Sevierville ,,Tennessee,E-26,East Fork Mine,MC0439,,,,A. Keith,35.82820,-83.38428,MRDS,10178797,,Reference Hand Sample(s),Rock Bag,N,65,0.834,834,D,D1,,
Allehhany County,,North Carolina,E-35,Bald Knob Deposit,MC0441,,,,Jewell J. Glass,36.53898,-81.08231,MRDS,10150753,,Reference Hand Sample(s),Rock Bag,N,70,1.198,"1,198",D,D1,,
Franklin County,,Massachusetts,E-56,Hawley Mine,MC0446,,,,,42.59998,-72.92452,MRDS,10083577,,Core Sample(s),Rock Bag,Y,80,0.21,210,D,D1,,
Franklin County,,Massachusetts,E-56,Hawley Mine,MC0447,,,,,42.59998,-72.92452,MRDS,10083577,,Reference Hand Sample(s),Rock Bag,Y,60,2.222,"2,222",D,D1,,
Hampshire County,,Massachusetts,E-56,Betts Manganese Mines,MC0449,,,,Jewell J. Glass,42.49526,-72.94731,MRDS,10067329,,Reference Hand Sample(s),Rock Bag,Y,75,3.41,"3,410",D,D2,,
Page County,,Virginia,E-33,Stanley Mine,MC0451,,,,,38.56004,-78.51055,MRDS,10105492,,Reference Hand Sample(s),Rock Bag,Y,100,2.732,"2,732",D,On Dresser A,,
Coal County,,Oklahoma,,Moseley Creek No.4,MC0453,,,,,34.47432,-96.48418,MRDS,10127562,,Reference Hand Sample(s),Paper Bag,N,55,0.156,156,D,D2,,
Coal County,,Oklahoma,,Moseley Creek No.4,MC0454,,,,,34.47432,-96.48418,MRDS,10127562,,Reference Hand Sample(s),Paper Bag,Y,50,0.436,436,D,D2,,
Coal County,,Oklahoma,,Moseley Creek No.1,MC0456,,,,,34.43702,-96.47638,MRDS,10135629,,Reference Hand Sample(s),Paper Bag,Y,70,0.192,192,D,D2,,
Coal County,,Oklahoma,,Moseley Creek No.4,MC0457,,,,,34.47432,-96.48418,MRDS,10127562,,Reference Hand Sample(s),Paper Bag,N,60,0.344,344,D,D2,,
Coal County,,Oklahoma,SE-17,Moseley Creek No.2,MC0458,,,,,34.45982,-96.48338,MRDS,10151507,,Reference Hand Sample(s),Rock Bag,Y,80,0.124,124,D,D2,,
Izard County,,Arkansas,SE-4,Woodpecker Hollow Mine,MC0461,,,,,35.93839,-91.87265,MRDS,10235862,,Reference Hand Sample(s),Rock Bag,N,30,0.192,192,D,D2,,
Independence County,,Arkansas,SE-9,Manganese Cave Mine,MC0464,,,,,35.86869,-91.83935,MRDS,10284115,,"Reference Hand Sample(s),Pebble",Rock Bag,N,70,0.498,498,D,D2,,
Iron County,,Missouri,SE-22,Cuthbertson Mountain Mine,MC0465,,,,,37.53087,-90.64181,MRDS,10171215,,Reference Hand Sample(s),Rock Bag,Y,55,0.99,990,D,D3,,
Independence County,,Arkansas,,Miller-Rinehart Mine,MC0468,,,,,35.82540,-91.65514,MRDS,10187448,,Reference Hand Sample(s),Rock Bag,Y,60,1.116,"1,116",D,D3,,
Batesville,,Arkansas,SE-12,Clubhouse Mine,MC0469,,,,,35.87429,-91.75954,MRDS,10235378,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,1.392,"1,392",D,D3,,
Independence County,,Arkansas,SE-10,Hankins Hollow Mine,MC0473,,,,,35.88119,-91.82705,MRDS,10138685,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.466,466,D,D3,,
Independence County,,Arkansas,SE-3,Hankins Hollow Mine,MC0474,,,,,35.88119,-91.82705,MRDS,10138685,,Reference Hand Sample(s),Rock Bag,Y,75,1.656,"1,656",D,D3,,
Independence County,,Arkansas,SE-13,A.R. Chinn Prospect,MC0475,,"Cave Creek, Arkansas is noted on sample.",,,35.83950,-91.63824,MRDS,10162559,,Reference Hand Sample(s),Rock Bag,Y,80,1.19,"1,190",D,D3,,
Cañitas,,Zacatecas,M-30,Manganita Mine,MC0479,,,Reference_27,Parker D. Trask,23.61666,-102.33333,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,90,0.18,180,D,D4,,
Tayoltita,,Durango,M-8,San Luis Mine,MC0480,,,,,24.09571,-105.90581,MRDS,10142640,,Reference Hand Sample(s),Rock Bag,Y,50,0.074,74,D,D4,,
Hidalgo del Parral,,Chihuahua,M-11,San Antonio Mine,MC0481,,"Talamantes District near Parral, Chihuahua, Mexico",,Ivan F. Wilson,26.91698,-105.45051,MRDS,10098771,,Reference Hand Sample(s),Rock Bag,Y,75,0.732,732,D,D4,,
Hidalgo del Parral,,Chihuahua,,,MC0486,,Parral Mine District,,,26.90031,-105.63384,MRDS,10105923,,Reference Hand Sample(s),Plastic Bag,Y,70,0.566,566,D,D4,,
Hidalgo del Parral,,Chihuahua,M-32,Mina La Venganza,MC0492,,,,,29.69910,-106.79389,MRDS,10104183,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,80,0.606,606,D,D4,,
Molango,,Hidalgo,M-13,Acoxcatlan Deposit,MC0493,,Manganese ore from the Tamάn Formation.,,,20.83386,-98.733610,MRDS,60001850,,Reference Hand Sample(s),Rock Bag,Y,75,0.54,540,D,D4,,
Mulegé ,,Baha California Sur,M-28-1,Lucifer Mine,MC0494,,,,Ivan F. Wilson,27.35970,-112.38736,MRDS,10048947,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.526,526,D,D5,,
Mulegé ,,Baha California Sur,M-28-11,Lucifer Mine,MC0495,,,,,27.35970,-112.38736,MRDS,10048947,,Reference Hand Sample(s),Rock Bag,Y,90,1.006,"1,006",D,D5,,
Mulegé ,,Baha California Sur,M-28-3,Lucifer Mine,MC0496,,,,,27.35970,-112.38736,MRDS,10048947,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.404,404,D,D5,,
Mulegé ,,Baha California Sur,M-28-5,Lucifer Mine,MC0497,,,,,27.35970,-112.38736,MRDS,10048947,,Reference Hand Sample(s),Rock Bag,Y,80,0.576,576,D,D5,,
Mulegé ,,Baha California Sur,M-28-2,Lucifer Mine,MC0498,,,,,27.35970,-112.38736,MRDS,10048947,,Reference Hand Sample(s),Rock Bag,Y,85,0.262,262,D,D5,,
Mulegé ,,Baha California Sur,M-28-6,Lucifer Mine,MC0499,,,,Ivan F. Wilson,27.35970,-112.38736,MRDS,10048947,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,0.578,578,D,D5,,
Inyo County,,California,Cal-9,,MC0500,,"Ore from mouth of Wingate Wash, Death Valley, California",,,35.91666,-116.76755,MRDS,10072418,,Reference Hand Sample(s),Rock Bag,Y,55,0.26,260,D,D5,,
Buenaventura,,Chihuahua,M-33,,MC0503,,Cotera La Zona De Minas,,,29.71965,-106.77278,MRDS,10050589,,Reference Hand Sample(s),Rock Bag,Y,40,0.162,162,D,D5,,
Tayoltita,,Durango,M-7,Calebra Mine,MC0505,,,,,24.10041,-105.93384,MRDS,10084804,,Reference Hand Sample(s),Rock Bag,N,30,0.114,114,D,D5,,
Hidalgo del Parral,,Chihuahua,M-30,Telamantes Mine,MC0506,,,,,26.91698,-105.45051,MRDS,10098771,,Reference Hand Sample(s),Rock Bag,N,45,0.762,762,D,D5,,
Santo Domingo,,San Luis Potosi,M-18,Montaña de Manganeso Mine,MC0508,,"Noted as ""4 km southwest of Santo Domingo Village.""-P.D. Trask",Reference_28,Parker D. Trask,23.33333,-101.80001,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,80,0.016,16,D,D5,,
Hidalgo del Parral,,Chihuahua,,San Antonio Mine,MC0511,,"Talamantes District near Parral, Chihuahua, Mexico",,Ivan F. Wilson,26.91698,-105.45051,MRDS,10098771,,Reference Hand Sample(s),Rock Bag,Y,85,1.51,"1,510",D,D6,,
Hidalgo del Parral,,Chihuahua,,San Antonio Mine,MC0512,,"Talamantes District near Parral, Chihuahua, Mexico",,Ivan F. Wilson,26.91698,-105.45051,MRDS,10098771,,Reference Hand Sample(s),Rock Bag,N,15,0.81,810,D,D6,,
Tehama County,,California,Cal-156,Anti-Mussilini Lode,MC0514,,Manganese Peak Group,,Ivan F. Wilson,39.83930,-122.67303,MRDS,10095206,,Reference Hand Sample(s),Rock Bag,Y,75,0.664,664,D,D6,,
Tehama County,,California,Cal-157,Anti-Hitler Lode,MC0515,,Manganese Peak Group,,Ivan F. Wilson,39.83930,-122.67303,MRDS,10095206,,Reference Hand Sample(s),Rock Bag,Y,60,0.35,350,D,D6,,
Nevada County,,California,Cal-152,Paine Bros. Mine,MC0516,,,,,39.33461,-120.95659,MRDS,10101300,,Reference Hand Sample(s),Rock Bag,Y,65,0.676,676,D,D6,,
Los Angeles County,,California,Cal-93,Black Brothers Mine,MC0517,,Llewellyn Iron Mine is noted on samples.,,,34.58279,-118.18729,MRDS,10095173,,Reference Hand Sample(s),Rock Bag,Y,55,0.632,632,D,D6,,
Mono County,,California,Cal-97,Mono Manganese No.7 Prospect,MC0519,,Wade Mine is noted on samples.,,,38.15382,-119.16657,MRDS,10211847,,Reference Hand Sample(s),Rock Bag,Y,80,0.378,378,D,D6,,
Calaveras County,,California,Cal-86,Soapstone Mine,MC0520,,Staples Mine is noted on samples.,,,38.19685,-120.47462,MRDS,10029478,,Reference Hand Sample(s),Rock Bag,Y,75,0.5,500,D,D6,,
Calaveras County,,California,Cal-84,Carley Prospect,MC0521,,,,,38.12408,-120.49017,MRDS,10029050,,Reference Hand Sample(s),Rock Bag,Y,65,0.344,344,D,D6,,
Nevada County,,California,Cal-164,Smith Mine,MC0523,,,,,39.02156,-121.10492,MRDS,10031697,,"Reference Hand Sample(s),Sand,Pebble",Rock Bag,Y,60,1.806,"1,806",E,E1,,
Shasta County,,California,Cal-155,Blackies Hill Claims,MC0524,,,,Ivan F. Wilson,40.45291,-122.73277,MRDS,10109393,,Reference Hand Sample(s),Rock Bag,Y,65,0.962,962,E,E1,,
Kern County,,California,Cal-94,Cuddy Canyon Prospect,MC0525,,Snowy Mine is noted on samples.,,,34.81939,-118.98562,MRDS,10260632,,Reference Hand Sample(s),Rock Bag,Y,75,1.034,"1,034",E,E1,,
Kern County,,California,Cal-92,O.K. Claim,MC0526,,,,,35.63859,-118.31870,MRDS,10033481,,Reference Hand Sample(s),Rock Bag,Y,60,0.904,904,E,E1,,
Tuolumne County,,California,Cal-83,Wonder Mine,MC0527,,,,,37.78992,-120.18738,MRDS,10111217,,Reference Hand Sample(s),Rock Bag,Y,70,1.104,"1,104",E,E1,,
San Bernardino County,,California,Cal-99,Logan Mine,MC0528,,South flank of Cady Mountains.,,,34.83945,-116.36114,MRDS,10033536,,Reference Hand Sample(s),Rock Bag,Y,80,1.43,"1,430",E,E1,,
Los Angeles County,,California,Cal-90,Red Feather Claim,MC0529,,La Frentz Shaft is noted on Specimens.,,,34.59891,-118.21670,MRDS,10163867,,Reference Hand Sample(s),Rock Bag,Y,80,0.972,972,E,E1,,
Inyo County,,California,Cal-158,War Baby Prospect,MC0532,,Wingate Wash is noted on samples.,,,35.82849,-116.87025,MRDS,10095171,,Reference Hand Sample(s),Rock Bag,Y,85,1.236,"1,236",E,E1,,
Riverside County,,California,Cal-21,Glory Hole Mine,MC0534,,,,,33.81695,-114.92771,MRDS,10188641,,Reference Hand Sample(s),Rock Bag,Y,75,1.558,"1,558",E,E2,,
Riverside County,,California,Cal-20,Arlington Mine,MC0535,,,,,33.81695,-114.92771,MRDS,10188641,,Reference Hand Sample(s),Rock Bag,Y,65,1.878,"1,878",E,E2,,
Inyo County,,California,Cal-163,,MC0537,,Furnace Creek Borate Project,,J.F. McAllister,36.33328,-116.61758,MRDS,60000491,,Reference Hand Sample(s),Rock Bag,N,30,0.424,424,E,E2,,
Mono County,,California,Cal-96,Black Horse Claim,MC0538,,,,,38.38602,-119.25127,MRDS,10236793,,Reference Hand Sample(s),Rock Bag,Y,70,1.594,"1,594",E,E2,,
Calaveras County,,California,Cal-87,Fortner Ranch Prospect,MC0539,,,,,38.22574,-120.66407,MRDS,10028845,,Reference Hand Sample(s),Rock Bag,Y,70,0.77,770,E,E2,,
El Dorado County,,California,Cal-146,Martinez Gold Mine,MC0540,,,,,38.63389,-120.82548,MRDS,10029874,,Reference Hand Sample(s),Rock Bag,N,35,0.26,260,E,E2,,
Siskiyou County,,California,Cal-135,Callahan Mine,MC0541,,,,,41.31262,-122.80168,MRDS,10038048,,Reference Hand Sample(s),Rock Bag,Y,80,0.256,256,E,E2,,
Placer County,,California,Cal-133,Lloyd Mine,MC0542,,,,,39.04350,-120.98547,MRDS,10097036,,Reference Hand Sample(s),Rock Bag,Y,75,0.512,512,E,E2,,
Nevada County,,California,Cal-150,Ryan Prospect,MC0543,,,,,39.16267,-120.92409,MRDS,10109284,,Reference Hand Sample(s),Rock Bag,Y,85,0.992,992,E,E2,,
Mariposa County,,California,Cal-76,Robie Prospect,MC0544,,,,,37.69742,-120.29019,MRDS,10115011,,Reference Hand Sample(s),Rock Bag,Y,70,0.42,420,E,E2,,
San Bernardino County,,California,Cal-23,Owl Holes Deposit,MC0545,,,,,35.64888,-116.69809,MRDS,10036243,,Reference Hand Sample(s),Rock Bag,Y,65,0.106,106,E,E3,,
Imperial County,,California,Cal-24,Lugo Claims,MC0546,,,,,33.34896,-114.82910,MRDS,10235981,,Reference Hand Sample(s),Rock Bag,Y,90,0.26,260,E,E3,,
Mariposa County,,California,Cal-75,El Portal Deposit,MC0547,,Strickland is noted on samples.,,,37.6075,-119.8925,MRDS,10031240,,Reference Hand Sample(s),Rock Bag,Y,60,0.22,220,E,E3,,
Butte County,,California,Cal-151,Powell Prospect,MC0550,,Clipper Mills Mining District,,,39.54928,-121.15854,MRDS,10231506,,Reference Hand Sample(s),Rock Bag,Y,65,0.366,366,E,E3,,
Glenn County,,California,Cal-125,K.B. No.1 Claim,MC0551,,,,Ivan F. Wilson,39.45472,-122.60833,MRDS,10097019,,Reference Hand Sample(s),Rock Bag,N,45,0.532,532,E,E3,,
Mendocino County,,California,Cal-129,Brereton Mine,MC0555,,,,Ivan F. Wilson,38.81430,-123.11693,MRDS,10031323,,Reference Hand Sample(s),Rock Bag,Y,60,0.474,474,E,E3,,
Calaveras County,,California,Cal-137,Big Little Bear Mine,MC0556,,,,,38.10491,-120.72851,MRDS,10097012,,Reference Hand Sample(s),Rock Bag,N,40,0.23,230,E,E3,,
Amador County,,California,Cal-139,Eagle's Head Mine,MC0557,,,,,38.49160,-120.65991,MRDS,10283976,,Reference Hand Sample(s),Rock Bag,N,35,0.094,94,E,E3,,
Placer County,,California,Cal-132,Randel Claim No.1,MC0558,,,,,39.04239,-120.87853,MRDS,10109378,,Reference Hand Sample(s),Rock Bag,Y,70,0.6,600,E,E3,,
Amador County,,California,Cal-136,Stirnaman Mine,MC0559,,,,,38.44600,-120.60601,MRDS,10138262,,Reference Hand Sample(s),Rock Bag,Y,75,0.326,326,E,E3,,
El Dorado County,,California,Cal-147,David Prospect,MC0560,,,,,38.90545,-120.85547,MRDS,10030033,,Reference Hand Sample(s),Rock Bag,Y,55,0.362,362,E,E3,,
Mariposa County,,California,Cal-138,Gale Prospect,MC0561,,,,,37.69798,-120.26155,MRDS,10097025,,Reference Hand Sample(s),Rock Bag,N,35,1.21,"1,210",E,E4,,
Amador County,,California,Cal-142,Du Frene,MC0563,,,,,38.34184,-120.86769,MRDS,10097002,,Reference Hand Sample(s),Rock Bag,N,45,1.252,"1,252",E,E4,,
Amador County,,California,Cal-141,Peyton Prospect,MC0565,,,,,38.41351,-120.62768,MRDS,10028334,,Reference Hand Sample(s),Rock Bag,Y,80,0.99,990,E,E4,,
Amador County,,California,Cal-144,Big Gulch Claim,MC0566,,,,,38.49300,-120.66431,MRDS,10235590,,Reference Hand Sample(s),Rock Bag,Y,80,1,"1,000",E,E4,,
Mendocino County,,California,Cal-124,Thatcher Creek Mine,MC0567,,,,,39.66819,-123.04943,MRDS,10031316,,Reference Hand Sample(s),Rock Bag,Y,65,0.278,278,E,E4,,
Mendocino County,,California,Cal-130,Spy Rock Prospect,MC0568,,,,Ivan F. Wilson,39.83902,-123.50361,MRDS,10031371,,Reference Hand Sample(s),Rock Bag,Y,85,0.694,694,E,E4,,
Calaveras County,,California,Cal-82,Big Little Bear Mine,MC0569,,Maxwell is noted on samples.,,,38.10491,-120.72851,MRDS,10097012,,Reference Hand Sample(s),Rock Bag,Y,70,0.826,826,E,E4,,
Santa Clara County,,California,Cal-66,Jones Group,MC0571,,,,,37.38853,-121.41713,MRDS,10111040,,Reference Hand Sample(s),Rock Bag,Y,85,0.766,766,E,E4,,
Inyo County,,California,Cal-26,,MC0573,," Keane (Keene) Wonder Hot Springs, Inyo county, California",,R.C. Erd,36.68191,-116.90061,MRDS,10086466,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,0.284,284,E,E4,,
Glenn County,,California,Cal-126,Hummingbird Claim,MC0574,,,,Ivan F. Wilson,39.63681,-122.61108,MRDS,10030503,,Reference Hand Sample(s),Rock Bag,Y,60,0.852,852,E,E5,,
Inyo County,,California,Cal-11,April Fool Claim,MC0575,,,,,35.88059,-116.76868,MRDS,10188212,,"Reference Hand Sample(s),Powder",Rock Bag,Y,55,0.936,936,E,E5,,
Glenn County,,California,Cal-128,B.S. No. 1,MC0576,,,,Ivan F. Wilson,36.64404,-122.73303,MRDS,10030505,,Reference Hand Sample(s),Rock Bag,Y,70,0.956,956,E,E5,,
Mariposa County,,California,Cal-81,Caldwell Mine,MC0578,,,,,37.68022,-120.28629,MRDS,10188131,,Reference Hand Sample(s),Rock Bag,Y,65,1.192,"1,192",E,E5,,
Tuolumne County,,California,Cal-80,Hughes Mine,MC0579,,,,,37.76048,-120.34322,MRDS,10077861,,Reference Hand Sample(s),Rock Bag,Y,85,0.99,990,E,E5,,
Madera County,,California,Cal-77,Stewart and Nuss Prospect,MC0580,,,,,37.26771,-119.63708,MRDS,10033492,,Reference Hand Sample(s),Rock Bag,N,30,0.296,296,E,E5,,
San Luis Obispo County ,,California,Cal-59,Ricioli Prospect,MC0581,,,,,35.51135,-120.98487,MRDS,10033569,,Reference Hand Sample(s),Rock Bag,Y,75,0.244,244,E,E5,,
Tulare County,,California,Cal-78,Barbour Prospect,MC0583,,,,,36.22385,-118.83316,MRDS,10033734,,Reference Hand Sample(s),Rock Bag,Y,50,0.358,358,E,E5,,
Siskiyou County,,California,Cal-67,Callahan Mine,MC0584,,,,,41.31262,-122.80168,MRDS,10038048,,Reference Hand Sample(s),Rock Bag,Y,75,0.592,592,E,E5,,
San Joaquin ,,California,Cal-60,Ladd Mine,MC0585,,,,D.F. Hewett,37.60658,-121.49685,MRDS,10033551,,Reference Hand Sample(s),Rock Bag,Y,60,0.368,368,E,E5,,
Humboldt County,,California,Cal-32,Queens Peak Mine,MC0587,,Queens Peak Manganese Company,,,40.06902,-124.04557,MRDS,10030514,,Reference Hand Sample(s),Rock Bag,Y,75,0.342,342,E,E5,,
Inyo County,,California,Cal-2,Confidence Hills Deposit,MC0588,,,,,35.87388,-116.45254,MRDS,10036099,,Reference Hand Sample(s),Rock Bag,N,20,0.332,332,E,E6,,
Siskiyou County,,California,Cal-29,National Defense Claim,MC0589,,National Defense Claim No. 1 and 2,,, 41.32817,-123.01195,MRDS,10095197,,Reference Hand Sample(s),Rock Bag,Y,50,1.082,"1,082",E,E6,,
Trinity County,,California,Cal-48,Trout Creek,MC0590,,Trout Creek No. 1 deposit located in Mad River hydrologic unit. ,,,40.12095,-123.22611,MRDS,10190416,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,65,1.284,"1,284",E,E6,,
Trinity County,,California,Cal-48,Trout Creek,MC0591,,Trout Creek No. 1 deposit located in Mad River hydrologic unit. ,,,40.12095,-123.22611,MRDS,10190416,,Reference Hand Sample(s),Rock Bag,Y,75,2.08,"2,080",E,E6,,
San Bernardino County,,California,Cal-101,Big Reef Mine,MC0592,,,,,34.80421,-116.34195,MRDS,10116066,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,85,1.526,"1,526",E,E6,,
San Bernardino County,,California,Cal-101,Big Reef Mine,MC0593,,,,,34.80421,-116.34195,MRDS,10116066,,Reference Hand Sample(s),Rock Bag,Y,85,2.322,"2,322",E,E6,,
San Bernardino County,,California,Cal-16,Lee Yim,MC0594,,,,,34.76058,-116.22807,MRDS,10109383,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,60,1.738,"1,738",E,E6,,
San Bernardino County,,California,Cal-16,Lee Yim,MC0595,,,,,34.76058,-116.22807,MRDS,10109383,,Reference Hand Sample(s),Rock Bag,N,20,1.12,"1,120",E,E6,,
San Bernardino County,,California,Cal-16,Lee Yim,MC0596,,,,,34.76058,-116.22807,MRDS,10109383,,Reference Hand Sample(s),Rock Bag,N,25,1.488,"1,488",E,E6,,
San Bernardino County,,California,Cal-100,Lee Yim,MC0597,,,,,34.76058,-116.22807,MRDS,10109383,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,1.295,"1,295",E,E6,,
Humboldt County,,California,Cal-35,Charles Mountain Mine,MC0598,,,,M.D. Crittenden,40.39845,-123.69223,MRDS,10030547,,Reference Hand Sample(s),Rock Bag,N,40,0.922,922,E,E7,,
Humboldt County,,California,Cal-35,Charles Mountain Mine,MC0599,,,,,40.39845,-123.69223,MRDS,10030547,,Reference Hand Sample(s),Rock Bag,N,45,1.104,"1,104",E,E7,,
Mendocino County,,California,Cal-46,Foster Mountain Mine,MC0601,,,,,39.44069,-123.17831,MRDS,10031344,,Reference Hand Sample(s),Rock Bag,Y,60,0.932,932,E,E7,,
Trinity County,,California,Cal-38,Bonanza Manganese Claims,MC0603,,,,M.D. Crittenden,40.21624 ,-123.20444,MRDS,10033677,,Reference Hand Sample(s),Rock Bag,N,25,0.58,580,E,E7,,
Humboldt County,,California,Cal-64,Fort Seward Mine,MC0605,,,,M.D. Crittenden,40.20455,-123.70552,MRDS,10212168,,Reference Hand Sample(s),Rock Bag,N,40,2.192,"2,192",E,E7,,
Riverside County,,California,Cal-12,Elsinore Manganese Deposits,MC0609,,,,Ivan F. Wilson,33.72447,-117.25809,MRDS,10033518,,Reference Hand Sample(s),Rock Bag,Y,75,0.792,792,F,F1,,
Trinity County,,California,Cal-39,Lucky Sunday Mine,MC0610,,,,M.D. Crittenden,40.15374,-123.23778,MRDS,10033701,,Reference Hand Sample(s),Rock Bag,N,35,0.436,436,F,F1,,
Mendocino County,,California,Cal-127,Young Mine,MC0611,,,,,39.47042,-123.31027,MRDS,10031357,,Reference Hand Sample(s),Rock Bag,Y,55,0.568,568,F,F1,,
Trinity County,,California,Cal-31,Blue Jay Mine,MC0612,,,,M.D. Crittenden,40.11235,-123.24611,MRDS,10214554,,Reference Hand Sample(s),Rock Bag,N,20,0.71,710,F,F1,,
San Bernardino County,,California,Cal-104,Orchard Mine,MC0613,,,,,34.36198,-114.24329,MRDS,10033540,,Reference Hand Sample(s),Rock Bag,Y,60,0.746,746,F,F1,,
Riverside County,,California,Cal-14,Langdon Deposit,MC0614,,,,,33.84199,-114.80108,MRDS,10033519,,"Reference Hand Sample(s),Powder",Rock Bag,N,25,0.92,920,F,F1,,
San Bernardino County,,California,Cal-1,,MC0618,,"Manix Lake, California",,Allen Bassett,41.3049302,-123.8671372,Earth Point©,,"Northeast Section 31,T11N,R3E",Reference Hand Sample(s),Rock Bag,Y,50,0.204,204,F,F1,,
San Diego County,,California,Cal-89,Sherry Ann Prospect,MC0619,,Jacumba Manganese Group includes the Sherry Ann manganese deposit.,Reference_31,,32.62507,-116.20913,MRDS,10238225,,Reference Hand Sample(s),Rock Bag,N,45,0.206,206,F,F1,,
Marin County,,California,Cal-53,Knutte Deposit,MC0620,,,,,38.09267,-122.57106,MRDS,10109229,,Reference Hand Sample(s),Rock Bag,Y,85,0.112,112,F,F1,,
Inyo County,,California,Cal-22,Lillie Mine,MC0621,,,,,35.80558,-117.28809,MRDS,10139606,,Reference Hand Sample(s),Rock Bag,Y,75,1.026,"1,026",F,F1,,
Riverside County,,California,Cal-13,Langdon Deposit,MC0622,,,,,33.84199,-114.80108,MRDS,10033519,,Reference Hand Sample(s),Rock Bag,N,10,1.692,"1,692",F,F2,,
San Bernardino,,California,Cal-102,Stewart Mine,MC0623,,,,,34.38334,-114.36600,MRDS,10285920,,Reference Hand Sample(s),Rock Bag,Y,80,1.45,"1,450",F,F2,,
San Bernardino,,California,Cal-105,Monument King Mine,MC0624,,,,,34.29310,-114.29773,MRDS,10033537,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,0.796,796,F,F2,,
Trinity County,,California,Cal-49,Double A Mine,MC0625,,,,M.D. Crittenden,40.20675,-123.27551,MRDS,10263508,,Reference Hand Sample(s),Rock Bag,Y,60,0.972,972,F,F2,,
Trinity County,,California,Cal-49,Double A Mine,MC0627,,,,M.D. Crittenden,40.20675,-123.27551,MRDS,10263508,,Reference Hand Sample(s),Rock Bag,N,20,0.238,238,F,F2,,
Plumas County,,California,Cal-65,Braito Mine,MC0630,,,,,40.07876,-120.95272,MRDS,10072360,,Reference Hand Sample(s),Rock Bag,Y,65,2.106,"2,106",F,F2,,
Plumas County,,California,Cal-65,Braito Mine,MC0631,,,,,40.07876,-120.95272,MRDS,10072360,,Reference Hand Sample(s),Rock Bag,N,30,1.082,"1,082",F,F2,,
Plumas County,,California,Cal-65,Braito Mine,MC0632,,,,,40.07876,-120.95272,MRDS,10072360,,Reference Hand Sample(s),Rock Bag,N,45,1.33,"1,330",F,F2,,
Stanislaus County,,California,Cal-62,Buckeye Mine,MC0635,,,,,37.52714,-121.39546,MRDS,10033644,,Reference Hand Sample(s),Rock Bag,N,15,2.622,"2,622",F,F3,,
